participant_id,session_id,fc_p_sag_004,fc_p_sag_005,fc_p_sag_006a,fc_p_sag_006a__01,fc_p_sag_006a__02___2
P001,1,1,1,0,,
P002,1,0,6,0,,
P003,1,3,1,0,,
P004,1,0,2,0,,
P005,1,0,2,0,,
P006,1,0,2,0,,
P007,1,2,1,0,,
P008,1,1,3,1,0.0,0.0
P009,1,0,1,0,,
P010,1,1,7,0,,
P011,1,0,444,0,,
P012,1,0,8,0,,
P013,1,3,4,0,,
P014,1,0,2,0,,
P015,1,0,2,1,1.0,0.0
P016,1,0,3,0,,
P017,1,0,11,0,,
P018,1,1,2,0,,
P019,1,0,3,999,,
P020,1,1,4,0,,
P021,1,2,7,0,,
P022,1,0,3,0,,
P023,1,0,11,0,,
P024,1,0,5,0,,
P025,1,444,4,0,,
P026,1,0,4,0,,
P027,1,0,9,0,,
P028,1,0,777,0,,
P029,1,0,1,1,0.0,0.0
P030,1,0,1,0,,
